balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
113,,23,1,62.0,37.6,5,9.87,8,2017,0,11,CJ Anderson,,186,2017,Delhi Daredevils,3
42,,26,1,29.0,21.0,1,8.28,2,2017,0,3,RD Chahar,,58,2017,Rising Pune Supergiants,2
366,,23,3,29.05,19.2,2,9.04,17,2023,0,17,JP Behrendorff,,552,2019,Mumbai Indians,19
12,,,,0.0,,4,11.0,2,2011,0,3,AA Jhunjhunwala,,22,2011,Pune Warriors,0
6,,,,0.0,,0,13.0,1,2010,0,1,C Ganapathy,,13,2010,Chennai Super Kings,0
191,,23,3,23.46,14.6,12,9.58,17,2024,0,40,MP Stoinis,,305,2022,Lucknow Super Giants,13
138,,9,1,36.8,27.6,4,8.0,15,2017,0,22,STR Binny,,184,2016,Royal Challengers Bangalore,5
1073,,40,5,22.8,16.2,6,8.41,46,2024,0,46,YS Chahal,,1505,2022,Rajasthan Royals,66
18,,,,0.0,,0,16.0,1,2024,0,1,PVD Chameera,,48,2024,Kolkata Knight Riders,0
0,,,,0.0,,0,,0,2022,0,2,RA Bawa,,0,2022,Kings XI Punjab,0
0,,,,0.0,,1,,0,2016,0,3,F Behardien,,0,2016,Kings XI Punjab,0
